neighborhood_code,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women,population_density_km2,restaurant_count
101,København,1574,København V,10485,82,40,42,7820.696232713401,0
101,København,1575,København V,6175,24,12,12,3886.6396761133606,0
101,København,1576,København V,20181,60,31,29,2973.0935037906943,0
101,København,1577,København V,280000,665,416,249,2375.0,19
101,København,1600,København V,7583,29,15,14,3824.343927205591,0
101,København,1601,København V,199000,515,259,256,2587.939698492462,0
101,København,1602,København V,51014,29,12,17,568.471400007841,1
101,København,1603,København V,4136,73,31,42,17649.90328820116,0
101,København,1605,København V,2592,35,26,9,13503.086419753086,0
101,København,1606,København V,26302,219,110,109,8326.36301421945,4
101,København,1608,København V,10407,31,11,20,2978.7642932641493,2
101,København,1609,København V,16215,2,2,0,123.34258402713537,8
101,København,1610,København V,154000,647,329,318,4201.298701298701,8
101,København,1611,København V,18109,0,0,0,0.0,0
101,København,1614,København V,6047,31,18,13,5126.509012733587,0
101,København,1615,København V,2916,222,109,113,76131.68724279835,1
101,København,1616,København V,4028,127,53,74,31529.294935451835,0
101,København,1617,København V,5215,143,61,82,27420.901246404603,1
101,København,1618,København V,17215,281,142,139,16322.974150450187,0
101,København,1619,København V,3332,142,67,75,42617.04681872749,6
101,København,1620,København V,66324,3160,1597,1563,47644.89475906158,91
101,København,1621,København V,15019,113,57,56,7523.803182635329,0
101,København,1622,København V,1507,192,84,108,127405.4412740544,0
101,København,1623,København V,6864,134,66,68,19522.14452214452,0
101,København,1624,København V,6999,168,84,84,24003.42906129447,0
101,København,1631,København V,9853,209,100,109,21211.813660813965,0
101,København,1632,København V,1975,142,74,68,71898.73417721518,1
101,København,1633,København V,10965,107,53,54,9758.321933424531,0
101,København,1634,København V,4776,175,83,92,36641.54103852597,1
101,København,1635,København V,15606,151,78,73,9675.765731129053,3
101,København,1650,København V,29825,1506,746,760,50494.55155071249,37
101,København,1651,København V,8709,340,183,157,39040.07348719715,2
101,København,1652,København V,4989,273,138,135,54720.38484666265,2
101,København,1653,København V,17718,247,127,120,13940.625352748617,4
101,København,1654,København V,13015,422,212,210,32424.126008451785,3
101,København,1655,København V,16149,524,261,263,32447.82958697133,5
101,København,1656,København V,18735,708,344,364,37790.232185748595,4
101,København,1657,København V,13288,522,243,279,39283.5641180012,0
101,København,1658,København V,25049,868,403,465,34652.08191943791,1
101,København,1659,København V,662,50,27,23,75528.70090634441,1
101,København,1660,København V,20033,714,346,368,35641.192033145315,0
101,København,1661,København V,15381,437,206,231,28411.67674403485,0
101,København,1662,København V,25223,958,453,505,37981.20762795861,2
101,København,1663,København V,37385,1556,712,844,41620.97097766484,7
101,København,1664,København V,7872,103,52,51,13084.349593495934,0
101,København,1665,København V,43528,1260,626,634,28946.88476383018,4
101,København,1666,København V,41215,672,344,328,16304.743418658254,1
101,København,1667,København V,3899,165,73,92,42318.543216209284,0
101,København,1668,København V,12820,435,222,213,33931.357254290175,2
101,København,1669,København V,10131,737,358,379,72747.0141150923,2
101,København,1670,København V,33522,397,198,199,11842.96879661118,10
101,København,1671,København V,14226,540,248,292,37958.667229017294,1
101,København,1672,København V,3258,153,81,72,46961.325966850825,0
101,København,1673,København V,3430,144,65,79,41982.50728862974,0
101,København,1674,København V,87471,1251,589,662,14301.88290976438,15
101,København,1675,København V,3846,122,60,62,31721.26885075403,0
101,København,1676,København V,11248,353,184,169,31383.35704125178,0
101,København,1677,København V,7181,144,69,75,20052.91742097201,0
101,København,1700,København V,87959,582,297,285,6616.719153241852,10
101,København,1701,København V,3396,125,69,56,36808.00942285041,0
101,København,1702,København V,5194,147,68,79,28301.88679245283,0
101,København,1703,København V,3495,193,94,99,55221.745350500714,0
101,København,1704,København V,66489,117,65,52,1759.6895727112753,0
101,København,1705,København V,137000,933,468,465,6810.218978102189,3
101,København,1706,København V,4524,139,76,63,30725.02210433245,0
101,København,1707,København V,5120,60,31,29,11718.749999999998,0
101,København,1708,København V,4361,200,99,101,45861.04104563173,0
101,København,1709,København V,32175,695,339,356,21600.6216006216,2
101,København,1710,København V,8809,22,12,10,2497.445794074242,0
101,København,1715,København V,19010,0,0,0,0.0,11
101,København,1717,København V,19725,241,118,123,12217.997465145754,0
101,København,1718,København V,12968,627,309,318,48349.78408389883,0
101,København,1719,København V,10705,598,274,324,55861.746847267634,0
101,København,1720,København V,131000,1975,963,1012,15076.335877862595,7
101,København,1721,København V,21694,895,432,463,41255.64672259611,5
101,København,1722,København V,7923,489,246,243,61719.0458159788,1
101,København,1723,København V,8849,105,50,55,11865.747542095152,1
101,København,1724,København V,10449,114,54,60,10910.134941142693,0
101,København,1725,København V,30729,344,169,175,11194.63698786163,1
101,København,1726,København V,25219,446,216,230,17685.078710496055,0
101,København,1727,København V,7394,352,156,196,47606.16716256424,0
101,København,1728,København V,4415,273,135,138,61834.65458663647,0
101,København,1729,København V,3699,213,110,103,57583.1305758313,0
101,København,1730,København V,1781,164,83,81,92083.09938236946,0
101,København,1731,København V,2912,92,46,46,31593.40659340659,0
101,København,1732,København V,1752,119,51,68,67922.37442922374,0
101,København,1733,København V,1068,108,59,49,101123.59550561798,0
101,København,1734,København V,4483,119,56,63,26544.724514833815,1
101,København,1735,København V,2723,213,110,103,78222.54865956664,0
101,København,1736,København V,2710,191,79,112,70479.70479704796,0
101,København,1737,København V,3560,242,122,120,67977.52808988764,0
101,København,1738,København V,4898,222,110,112,45324.62229481422,0
101,København,1739,København V,3251,88,47,41,27068.594278683482,0
101,København,1748,København V,0,0,0,0,,0
101,København,1749,København V,9280,224,118,106,24137.931034482757,0
101,København,1750,København V,31491,820,408,412,26039.18579911721,4
101,København,1751,København V,6625,413,201,212,62339.622641509435,4
101,København,1752,København V,9665,331,166,165,34247.28401448525,0
101,København,1753,København V,12545,81,42,39,6456.755679553607,0
101,København,1754,København V,3631,581,273,308,160011.0162489672,0
101,København,1755,København V,1256,104,53,51,82802.54777070064,0
101,København,1756,København V,9633,424,200,224,44015.36385342054,0
101,København,1757,København V,16996,174,80,94,10237.702988938574,0
101,København,1758,København V,3123,321,165,156,102785.78290105668,0
101,København,1759,København V,3487,27,14,13,7743.045597935187,0
101,København,1760,København V,24500,678,326,352,27673.4693877551,3
101,København,1761,København V,10890,382,175,207,35078.05325987144,0
101,København,1762,København V,5731,401,178,223,69970.33676496249,0
101,København,1763,København V,10988,552,251,301,50236.62176920277,0
101,København,1764,København V,4391,269,146,123,61261.671601002054,0
101,København,1765,København V,15941,156,74,82,9786.086192836083,0
101,København,1766,København V,5377,46,21,25,8554.95629533197,0
101,København,1770,København V,9302,191,96,95,20533.218662653195,0
101,København,1771,København V,1949,50,21,29,25654.181631605952,0
101,København,1772,København V,1607,46,18,28,28624.766645924083,0
101,København,1773,København V,2003,58,32,26,28956.565152271593,0
101,København,1774,København V,17725,130,67,63,7334.273624823695,0
101,København,1775,København V,1314,47,27,20,35768.64535768645,0
101,København,1777,København V,8698,132,62,70,15175.902506323295,0
101,København,1799,København V,324000,4229,2117,2112,13052.469135802468,16
101,København,2100,København ø,9100000,91554,44085,47469,10060.87912087912,263
101,København,2150,Nordhavn,2917000,4006,2013,1993,1373.3287624271513,28
101,København,2200,København N,3941000,77132,36780,40352,19571.682314133468,272
101,København,2300,København S,29400000,153669,75664,78005,5226.836734693878,320
101,København,2400,København NV,7000000,54410,27010,27400,7772.857142857143,96
101,København,2450,København SV,9100000,39490,20034,19456,4339.56043956044,59
101,København,2500,Valby,7600000,65522,32588,32934,8621.315789473685,131
101,København,2610,Rødovre,12300000,66,38,28,5.365853658536585,66
101,København,2700,Brønshøj,8200000,45950,22892,23058,5603.658536585366,72
101,København,2720,Vanløse,5200000,33160,16377,16783,6376.923076923077,71
101,København,2770,Kastrup,59600000,119,61,58,1.9966442953020134,123
101,København,2860,Søborg,13200000,236,132,104,17.87878787878788,60
101,København,2900,Hellerup,6800000,3786,1771,2015,556.7647058823529,66
147,Frederiksberg,1800,Frederiksberg C,6192,717,362,355,115794.57364341085,12
147,Frederiksberg,1801,Frederiksberg C,14234,380,177,203,26696.641843473375,0
147,Frederiksberg,1802,Frederiksberg C,21785,231,115,116,10603.626348404867,0
147,Frederiksberg,1803,Frederiksberg C,3363,90,42,48,26761.819803746654,0
147,Frederiksberg,1804,Frederiksberg C,7673,264,120,144,34406.3599635084,0
147,Frederiksberg,1805,Frederiksberg C,1691,27,10,17,15966.883500887048,0
147,Frederiksberg,1806,Frederiksberg C,18456,189,86,103,10240.572171651495,1
147,Frederiksberg,1807,Frederiksberg C,10944,203,97,106,18548.976608187135,0
147,Frederiksberg,1808,Frederiksberg C,15613,117,57,60,7493.7552039966695,0
147,Frederiksberg,1809,Frederiksberg C,11859,232,105,127,19563.20094443039,0
147,Frederiksberg,1810,Frederiksberg C,29238,771,379,392,26369.792735481224,0
147,Frederiksberg,1811,Frederiksberg C,16030,52,27,25,3243.917654398004,0
147,Frederiksberg,1812,Frederiksberg C,34500,465,215,250,13478.260869565216,0
147,Frederiksberg,1813,Frederiksberg C,24840,598,285,313,24074.074074074073,0
147,Frederiksberg,1814,Frederiksberg C,18822,448,222,226,23801.933907129955,0
147,Frederiksberg,1815,Frederiksberg C,11570,243,116,127,21002.592912705273,0
147,Frederiksberg,1816,Frederiksberg C,7196,153,73,80,21261.812117843245,1
147,Frederiksberg,1817,Frederiksberg C,4640,453,209,244,97629.31034482758,0
147,Frederiksberg,1818,Frederiksberg C,7853,140,73,67,17827.581815866546,0
147,Frederiksberg,1819,Frederiksberg C,2791,162,82,80,58043.71193120745,2
147,Frederiksberg,1820,Frederiksberg C,85971,1379,669,710,16040.292656826137,12
147,Frederiksberg,1822,Frederiksberg C,1724,89,37,52,51624.12993039443,0
147,Frederiksberg,1823,Frederiksberg C,3940,77,38,39,19543.147208121827,0
147,Frederiksberg,1824,Frederiksberg C,15255,351,184,167,23008.849557522124,0
147,Frederiksberg,1825,Frederiksberg C,12341,124,59,65,10047.808119277206,0
147,Frederiksberg,1826,Frederiksberg C,14714,174,81,93,11825.472339268725,0
147,Frederiksberg,1827,Frederiksberg C,19468,346,164,182,17772.755290733512,0
147,Frederiksberg,1828,Frederiksberg C,8395,283,130,153,33710.541989279336,0
147,Frederiksberg,1829,Frederiksberg C,26622,318,164,154,11945.007888212756,1
147,Frederiksberg,1850,Frederiksberg C,89561,1869,916,953,20868.45836915622,20
147,Frederiksberg,1851,Frederiksberg C,14905,423,193,230,28379.738342837973,0
147,Frederiksberg,1852,Frederiksberg C,20562,203,104,99,9872.58048827935,0
147,Frederiksberg,1853,Frederiksberg C,18272,354,161,193,19373.905429071805,1
147,Frederiksberg,1854,Frederiksberg C,5988,278,126,152,46426.18570474282,0
147,Frederiksberg,1855,Frederiksberg C,11664,418,197,221,35836.76268861454,0
147,Frederiksberg,1856,Frederiksberg C,5961,111,58,53,18621.036738802213,0
147,Frederiksberg,1857,Frederiksberg C,21810,62,30,32,2842.7326914259515,0
147,Frederiksberg,1860,Frederiksberg C,20737,222,116,106,10705.502242368713,0
147,Frederiksberg,1861,Frederiksberg C,12170,195,98,97,16023.007395234183,0
147,Frederiksberg,1862,Frederiksberg C,11290,131,62,69,11603.188662533215,0
147,Frederiksberg,1863,Frederiksberg C,6654,93,45,48,13976.555455365193,0
147,Frederiksberg,1864,Frederiksberg C,51637,616,277,339,11929.43044715998,1
147,Frederiksberg,1865,Frederiksberg C,1447,71,37,34,49067.03524533518,0
147,Frederiksberg,1866,Frederiksberg C,2167,183,92,91,84448.54637748038,1
147,Frederiksberg,1867,Frederiksberg C,2819,17,10,7,6030.507272082299,0
147,Frederiksberg,1868,Frederiksberg C,5420,268,134,134,49446.49446494465,0
147,Frederiksberg,1870,Frederiksberg C,139000,948,421,527,6820.143884892086,1
147,Frederiksberg,1871,Frederiksberg C,66262,631,311,320,9522.803416739609,2
147,Frederiksberg,1872,Frederiksberg C,1444,84,38,46,58171.745152354575,0
147,Frederiksberg,1873,Frederiksberg C,8142,38,20,18,4667.157946450504,0
147,Frederiksberg,1874,Frederiksberg C,33784,450,213,237,13319.914752545583,0
147,Frederiksberg,1875,Frederiksberg C,18872,234,113,121,12399.321746502756,0
147,Frederiksberg,1876,Frederiksberg C,20304,102,49,53,5023.640661938534,0
147,Frederiksberg,1877,Frederiksberg C,19995,50,26,24,2500.6251562890725,0
147,Frederiksberg,1878,Frederiksberg C,17723,85,36,49,4796.027760537156,0
147,Frederiksberg,1879,Frederiksberg C,59418,1537,768,769,25867.582214143862,22
147,Frederiksberg,1900,Frederiksberg C,36388,965,430,535,26519.7317797076,6
147,Frederiksberg,1901,Frederiksberg C,10710,33,20,13,3081.2324929971987,0
147,Frederiksberg,1902,Frederiksberg C,36166,818,389,429,22617.928441077256,1
147,Frederiksberg,1903,Frederiksberg C,39972,338,169,169,8455.91914340038,0
147,Frederiksberg,1904,Frederiksberg C,21599,774,375,399,35834.992360757446,0
147,Frederiksberg,1905,Frederiksberg C,20888,256,126,130,12255.840674071236,0
147,Frederiksberg,1906,Frederiksberg C,13230,143,70,73,10808.767951625094,0
147,Frederiksberg,1908,Frederiksberg C,12905,293,141,152,22704.37814800465,0
147,Frederiksberg,1909,Frederiksberg C,37660,784,343,441,20817.843866171002,0
147,Frederiksberg,1910,Frederiksberg C,20232,250,131,119,12356.662712534599,0
147,Frederiksberg,1911,Frederiksberg C,30430,397,194,203,13046.335852776865,3
147,Frederiksberg,1912,Frederiksberg C,7703,279,130,149,36219.65467999481,0
147,Frederiksberg,1913,Frederiksberg C,6455,221,99,122,34237.02556158017,0
147,Frederiksberg,1914,Frederiksberg C,3767,138,65,73,36633.92620122113,0
147,Frederiksberg,1915,Frederiksberg C,18707,330,165,165,17640.45544448602,0
147,Frederiksberg,1916,Frederiksberg C,6195,173,82,91,27925.746569814368,0
147,Frederiksberg,1917,Frederiksberg C,11917,128,63,65,10740.95829487287,0
147,Frederiksberg,1920,Frederiksberg C,21134,508,241,267,24037.09662155768,0
