neighborhood_id,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women
147,Frederiksberg,1819,Frederiksberg C,2791,162,82,80
147,Frederiksberg,1820,Frederiksberg C,85971,1379,669,710
147,Frederiksberg,1822,Frederiksberg C,1724,89,37,52
147,Frederiksberg,1823,Frederiksberg C,3940,77,38,39
147,Frederiksberg,1824,Frederiksberg C,15255,351,184,167
147,Frederiksberg,1825,Frederiksberg C,12341,124,59,65
147,Frederiksberg,1826,Frederiksberg C,14714,174,81,93
147,Frederiksberg,1827,Frederiksberg C,19468,346,164,182
147,Frederiksberg,1828,Frederiksberg C,8395,283,130,153
147,Frederiksberg,1829,Frederiksberg C,26622,318,164,154
147,Frederiksberg,1850,Frederiksberg C,89561,1869,916,953
147,Frederiksberg,1851,Frederiksberg C,14905,423,193,230
147,Frederiksberg,1852,Frederiksberg C,20562,203,104,99
147,Frederiksberg,1853,Frederiksberg C,18272,354,161,193
147,Frederiksberg,1854,Frederiksberg C,5988,278,126,152
147,Frederiksberg,1855,Frederiksberg C,11664,418,197,221
147,Frederiksberg,1856,Frederiksberg C,5961,111,58,53
147,Frederiksberg,1857,Frederiksberg C,21810,62,30,32
147,Frederiksberg,1860,Frederiksberg C,20737,222,116,106
147,Frederiksberg,1861,Frederiksberg C,12170,195,98,97
147,Frederiksberg,1862,Frederiksberg C,11290,131,62,69
147,Frederiksberg,1863,Frederiksberg C,6654,93,45,48
147,Frederiksberg,1864,Frederiksberg C,51637,616,277,339
147,Frederiksberg,1865,Frederiksberg C,1447,71,37,34
147,Frederiksberg,1866,Frederiksberg C,2167,183,92,91
147,Frederiksberg,1867,Frederiksberg C,2819,17,10,7
147,Frederiksberg,1868,Frederiksberg C,5420,268,134,134
147,Frederiksberg,1870,Frederiksberg C,139000,948,421,527
147,Frederiksberg,1871,Frederiksberg C,66262,631,311,320
147,Frederiksberg,1872,Frederiksberg C,1444,84,38,46
147,Frederiksberg,1873,Frederiksberg C,8142,38,20,18
147,Frederiksberg,1874,Frederiksberg C,33784,450,213,237
147,Frederiksberg,1875,Frederiksberg C,18872,234,113,121
147,Frederiksberg,1876,Frederiksberg C,20304,102,49,53
147,Frederiksberg,1877,Frederiksberg C,19995,50,26,24
147,Frederiksberg,1878,Frederiksberg C,17723,85,36,49
147,Frederiksberg,1879,Frederiksberg C,59418,1537,768,769
147,Frederiksberg,1900,Frederiksberg C,36388,965,430,535
147,Frederiksberg,1901,Frederiksberg C,10710,33,20,13
147,Frederiksberg,1902,Frederiksberg C,36166,818,389,429
147,Frederiksberg,1903,Frederiksberg C,39972,338,169,169
147,Frederiksberg,1904,Frederiksberg C,21599,774,375,399
147,Frederiksberg,1905,Frederiksberg C,20888,256,126,130
147,Frederiksberg,1906,Frederiksberg C,13230,143,70,73
147,Frederiksberg,1908,Frederiksberg C,12905,293,141,152
147,Frederiksberg,1909,Frederiksberg C,37660,784,343,441
147,Frederiksberg,1910,Frederiksberg C,20232,250,131,119
147,Frederiksberg,1911,Frederiksberg C,30430,397,194,203
147,Frederiksberg,1912,Frederiksberg C,7703,279,130,149
147,Frederiksberg,1913,Frederiksberg C,6455,221,99,122
147,Frederiksberg,1914,Frederiksberg C,3767,138,65,73
147,Frederiksberg,1915,Frederiksberg C,18707,330,165,165
147,Frederiksberg,1916,Frederiksberg C,6195,173,82,91
147,Frederiksberg,1917,Frederiksberg C,11917,128,63,65
147,Frederiksberg,1920,Frederiksberg C,21134,508,241,267
147,Frederiksberg,1921,Frederiksberg C,1565,74,36,38
147,Frederiksberg,1922,Frederiksberg C,13367,96,49,47
147,Frederiksberg,1923,Frederiksberg C,4279,224,103,121
147,Frederiksberg,1924,Frederiksberg C,14686,172,80,92
147,Frederiksberg,1925,Frederiksberg C,21137,40,19,21
147,Frederiksberg,1926,Frederiksberg C,16466,34,20,14
147,Frederiksberg,1927,Frederiksberg C,6341,58,31,27
147,Frederiksberg,1928,Frederiksberg C,8769,15,6,9
147,Frederiksberg,1950,Frederiksberg C,26982,496,234,262
147,Frederiksberg,1951,Frederiksberg C,4248,162,78,84
147,Frederiksberg,1952,Frederiksberg C,6862,334,178,156
147,Frederiksberg,1953,Frederiksberg C,11743,419,199,220
147,Frederiksberg,1954,Frederiksberg C,33171,1166,534,632
147,Frederiksberg,1955,Frederiksberg C,17029,356,167,189
147,Frederiksberg,1956,Frederiksberg C,8407,363,174,189
147,Frederiksberg,1957,Frederiksberg C,13936,392,179,213
147,Frederiksberg,1958,Frederiksberg C,85739,292,135,157
147,Frederiksberg,1959,Frederiksberg C,18218,81,39,42
147,Frederiksberg,1960,Frederiksberg C,2690,515,249,266
147,Frederiksberg,1961,Frederiksberg C,9346,396,191,205
147,Frederiksberg,1962,Frederiksberg C,21237,217,109,108
147,Frederiksberg,1963,Frederiksberg C,8529,163,73,90
147,Frederiksberg,1964,Frederiksberg C,28342,460,208,252
147,Frederiksberg,1965,Frederiksberg C,3660,81,36,45
147,Frederiksberg,1966,Frederiksberg C,13652,242,114,128
147,Frederiksberg,1967,Frederiksberg C,17099,209,102,107
147,Frederiksberg,1970,Frederiksberg C,42650,522,251,271
147,Frederiksberg,1971,Frederiksberg C,6031,147,73,74
147,Frederiksberg,1972,Frederiksberg C,15483,377,181,196
147,Frederiksberg,1973,Frederiksberg C,23686,307,151,156
147,Frederiksberg,1974,Frederiksberg C,10106,24,12,12
147,Frederiksberg,2000,Frederiksberg,6600000,71251,33507,37744
