Name,Address,CVR,Status,Company Type
Wasabi Sushi & Bogø Sandwich Nytorv ApS,"Østerågade 11, st., 9000 Aalborg, 44619539, Normal, Anpartsselskab",,,
TJ RETAIL ApS,"C/O Thomas Jensen, Østerled 46, 9370 Hals, 29397783, Normal, Anpartsselskab",,,
LACARRIERE ENTERPRISES ApS,"C/O The Irish House, Østerågade 25, 9000 Aalborg, 26826446, Normal, Anpartsselskab",,,
CHARB ApS,"Søndre Skovvej 30, 9000 Aalborg, 25524047, Normal, Anpartsselskab",,,
HOS ISIDOR HENIUS ApS,"Slotsgade 33, 9000 Aalborg, 36053755, Normal, Anpartsselskab",,,
PAKHUSET AALBORG ApS,"C/O Søren Als, Skolemestervej 34, 9000 Aalborg, 28328788, Normal, Anpartsselskab",,,
NADIAS SANDWICH ApS,"Østerågade 8, 1., 9000 Aalborg, 28964684, Normal, Anpartsselskab",,,
Café Vi.2 ApS,"C/O Mogens Jørgensen, Kaolinvej 8, 9220 Aalborg Øst, 42462373, Normal, Anpartsselskab",,,
FREDDY GREEN ØSTERÅGADE AALBORG Aps,"C/O Frederik Løwe, Østerågade 15, st., 9000 Aalborg, 39833905, Normal, Anpartsselskab",,,
Restaurant Svalegaarden ApS,"Einar Packness Vej 2, 9000 Aalborg, 39444712, Normal, Anpartsselskab",,,
Esaan ApS,"C/O David Lam, Strandvejen 9, 9000 Aalborg, 39590549, Normal, Anpartsselskab",,,
Minjiang Restaurant ApS,"Strandvejen 35C, 9000 Aalborg, 40383220, Normal, Anpartsselskab",,,
FOOD KING ApS,"Østerågade 16, 9000 Aalborg, 44974053, Normal, Anpartsselskab",,,
MIN OLIVIA APS,"Vesterå 3A, 9000 Aalborg, 40043039, Normal, Anpartsselskab",,,
Tempo Vesterbro Aalborg ApS,"C/O Kent Østervang, Brandstrupsgade 3, 9000 Aalborg, 39122669, Normal, Anpartsselskab",,,
Kents Madhus Sulsted Kro ApS,"Holtevej 10, 9381 Sulsted, 38861093, Normal, Anpartsselskab",,,
Spiseriet Aalborg A/S,"Hadsundvej 33A, 9000 Aalborg, 41496592, Normal, Aktieselskab",,,
Om Bord ApS,"Bådehavnsvej 16A, 9000 Aalborg, 39314215, Normal, Anpartsselskab",,,
Bogø Sandwich og Wasabi Sushi Aalborg ApS,"Tornhøjvej 4E, 9220 Aalborg Øst, 41045957, Normal, Anpartsselskab",,,
Bogø Sandwich Shoppen ApS,"C/O Samim Alizai, Tornhøjparken 24, 9220 Aalborg Øst, 44104709, Normal, Anpartsselskab",,,
Babylon Grill Restaurant ApS,"Gugvej 81, 9210 Aalborg SØ, 44462001, Normal, Anpartsselskab",,,
Sapore Mediterraneo ApS,"Nørregade 14, 9000 Aalborg, 44892146, Normal, Anpartsselskab",,,
Dinehut ApS,"Sankelmarksgade 9E, 9000 Aalborg, 45209857, Normal, Anpartsselskab",,,
Pizzatime Aalborg,"Fridtjof Nansens Vej 2F, 1., 9210 Aalborg SØ, 43058274, Aktiv, Enkeltmandsvirksomhed",,,
Vodskov Pizzeria,"Skippersmindevej 1, 9310 Vodskov, 44304791, Aktiv, Enkeltmandsvirksomhed",,,
Burger Beast Aalborg,"Reberbansgade 13A, st. tv, 9000 Aalborg, 44342995, Aktiv, Enkeltmandsvirksomhed",,,
DUUS VINKÆLDER V/PETER KRAGH,"Østerågade 9, 9000 Aalborg, 15700742, Aktiv, Enkeltmandsvirksomhed",,,
Strandpavillionen I/S,"Bådehavnsvej 10, 9000 Aalborg, 34552622, Aktiv, Interessentskab",,,
Vejgaard Hallen,"Vejgård Torv 3, 9000 Aalborg, 44904950, Aktiv, Enkeltmandsvirksomhed",,,
Restaurant Fisk & Skaldyr,"Bispensgade 31, 9000 Aalborg, 25914554, Aktiv, Enkeltmandsvirksomhed",,,
Cafeteriet i Ulsted hallen,"Nørtoftvej 5, 9370 Hals, 45314979, Aktiv, Enkeltmandsvirksomhed",,,
Pizzeria Grill Steak House,"Fridtjof Nansens Vej 2G, st., 9210 Aalborg SØ, 44851792, Aktiv, Enkeltmandsvirksomhed",,,
Madkassen,"Østerbro 64, st. tv, 9000 Aalborg, 45362396, Aktiv, Enkeltmandsvirksomhed",,,
Restaurant Impulsiv Cocktail I/S,"C/O El Mariachi Gastro Pub, Ved Stranden 1, st. th, 9000 Aalborg, 37999504, Aktiv, Interessentskab",,,
Pølsepigerne,"C/O V/ Tina Hartmann Holst, Ørsnæsvej 1, 9240 Nibe, 26415616, Aktiv, Enkeltmandsvirksomhed",,,
TE2013,"Christiansgade 59, 9000 Aalborg, 35059407, Aktiv, Enkeltmandsvirksomhed",,,
Cafe Campus AAU,"Myrdalstræde 268, 9220 Aalborg Øst, 33820496, Aktiv, Enkeltmandsvirksomhed",,,
Taverna Zorba v/Madalin Marius Chiritescu,"Sankelmarksgade 1A, 9000 Aalborg, 33692773, Aktiv, Enkeltmandsvirksomhed",,,
Chef's,"Østerågade 4B, 4. tv, 9000 Aalborg, 43621998, Aktiv, Enkeltmandsvirksomhed",,,
P mad v/ Claus Pedersen,"Bykrogen 34, 9200 Aalborg SV, 40498362, Aktiv, Enkeltmandsvirksomhed",,,
Lifli Sushi Aalborg,"Nørregade 32A, st., 9000 Aalborg, 44724278, Aktiv, Enkeltmandsvirksomhed",,,
Alanya Pizza Steak House,"Hadsundvej 88, 9000 Aalborg, 44834987, Aktiv, Enkeltmandsvirksomhed",,,
Skal Pavillonen v/Aksel Jensen,"Mellemgade 6B, 9240 Nibe, 85706918, Aktiv, Enkeltmandsvirksomhed",,,
Khun Ubon Thai Food,"Stationsvej 5G, 9280 Storvorde, 43479962, Aktiv, Enkeltmandsvirksomhed",,,
Smedekroen/Torvekroen/Torvekroens Pølsevogn,"Torvet 3, 9370 Hals, 21213535, Aktiv, Enkeltmandsvirksomhed",,,
Reina Pizza & Restaurant,"Skomagergade 29, 9240 Nibe, 27391362, Aktiv, Enkeltmandsvirksomhed",,,
Pho Saigon,"Østerbro 22, 9000 Aalborg, 44583720, Aktiv, Enkeltmandsvirksomhed",,,
Kaffe og Surdej,"Overblikket 25, 9000 Aalborg, 40384049, Aktiv, Enkeltmandsvirksomhed",,,
IL Ristorante Fellini v/Vincenzo Iannone,"Vesterå 13, st., 9000 Aalborg, 25193873, Aktiv, Enkeltmandsvirksomhed",,,
Restaurant Sanya,"C/O Ning He, Rendsburggade 18, st., 9000 Aalborg, 35698000, Aktiv, Enkeltmandsvirksomhed",,,
Storvorde Pizza & Kebabv v/ Imer Bytyqi,"Stationsvej 5F, 9280 Storvorde, 30882024, Aktiv, Enkeltmandsvirksomhed",,,
Döner House Aalborg,"Boulevarden 22, st. 1, 9000 Aalborg, 33906951, Aktiv, Enkeltmandsvirksomhed",,,
SMEDEKROEN I/S,"Niels Ebbesens Gade 19, 9000 Aalborg, 40139575, Aktiv, Interessentskab",,,
